,Country.of.Origin,Country.of.OriginR,Region.Name,RegionR,Processing.Method,Processing.MethodR,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,altitude_mean_meters
447,China,2,Asia,2,Washed / Wet,0,7.5,7.67,7.33,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.17,1200.0
448,China,2,Asia,2,Washed / Wet,0,7.67,7.67,7.5,7.67,7.42,7.58,10.0,10.0,10.0,7.67,83.17,1600.0
449,El Salvador,13,Central America,1,Washed / Wet,0,7.5,7.5,7.33,7.67,8.0,7.67,10.0,10.0,10.0,7.5,83.17,1350.0
450,Guatemala,11,Central America,1,Washed / Wet,0,7.5,7.75,7.5,7.83,7.58,7.5,10.0,10.0,10.0,7.5,83.17,1500.0
451,Guatemala,11,Central America,1,Washed / Wet,0,7.92,7.67,7.42,7.75,7.5,7.5,10.0,10.0,10.0,7.42,83.17,1650.0
452,Kenya,8,Africa,0,Washed / Wet,0,7.83,7.75,7.67,7.75,7.83,8.5,9.33,9.33,9.33,7.83,83.17,250.5
453,Thailand,9,Asia,2,Washed / Wet,0,7.67,7.58,7.58,7.75,7.42,7.67,10.0,10.0,10.0,7.5,83.17,800.0
454,"Tanzania, United Republic Of",15,Africa,0,Washed / Wet,0,7.58,7.67,7.67,7.58,7.42,7.58,10.0,10.0,10.0,7.67,83.17,1653.0
455,Colombia,1,South America,3,Washed / Wet,0,7.58,7.5,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.75,83.17,1775.0
456,Uganda,6,Africa,0,Washed / Wet,0,8.0,7.67,7.5,7.42,7.33,7.58,10.0,10.0,10.0,7.67,83.17,1800.0
458,Honduras,16,Central America,1,Natural / Dry,1,7.5,7.5,7.5,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.17,1450.0
459,Honduras,16,Central America,1,Natural / Dry,1,7.67,7.67,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.5,83.17,1350.0
460,Guatemala,11,Central America,1,Washed / Wet,0,7.33,7.83,7.17,8.17,7.33,7.67,10.0,10.0,10.0,7.67,83.17,1524.0
462,"Tanzania, United Republic Of",15,Africa,0,Washed / Wet,0,7.58,7.5,7.58,7.75,7.58,7.58,10.0,10.0,10.0,7.58,83.17,1800.0
463,Guatemala,11,Central America,1,Washed / Wet,0,7.67,7.83,7.33,7.67,7.5,7.67,10.0,10.0,10.0,7.5,83.17,1310.64
464,Mexico,4,Mexico,4,Washed / Wet,0,7.75,7.58,7.58,7.58,7.5,7.42,10.0,10.0,10.0,7.75,83.17,1500.0
465,Mexico,4,Mexico,4,Washed / Wet,0,7.75,7.67,7.58,7.5,7.42,7.58,10.0,10.0,10.0,7.67,83.17,532.0
466,Mexico,4,Mexico,4,Washed / Wet,0,7.58,7.75,7.42,7.67,7.5,7.58,10.0,10.0,10.0,7.67,83.17,1089.0
467,Colombia,1,South America,3,Washed / Wet,0,7.67,7.5,7.5,7.5,7.58,8.17,10.0,10.0,10.0,7.25,83.17,1775.0
468,Mexico,4,Mexico,4,Washed / Wet,0,7.75,7.5,7.42,7.75,7.58,7.58,10.0,10.0,10.0,7.58,83.17,700.0
469,Colombia,1,South America,3,Washed / Wet,0,7.58,7.67,7.5,7.58,7.67,7.67,10.0,10.0,10.0,7.5,83.17,1750.0
470,Mexico,4,Mexico,4,Washed / Wet,0,7.5,7.75,7.58,7.58,7.67,7.5,10.0,10.0,10.0,7.58,83.17,1380.0
471,Brazil,5,South America,3,Natural / Dry,1,7.75,7.67,7.58,7.5,7.58,7.58,10.0,10.0,10.0,7.5,83.17,1000.0
472,Brazil,5,South America,3,Natural / Dry,1,7.92,7.58,7.5,7.58,7.42,7.5,10.0,10.0,10.0,7.67,83.17,950.0
473,Guatemala,11,Central America,1,Washed / Wet,0,7.75,7.5,7.67,7.5,7.92,8.0,10.0,10.0,9.33,7.5,83.17,1402.08
474,Brazil,5,South America,3,Semi-washed / Semi-pulped,3,7.75,7.5,7.58,7.5,7.75,7.5,10.0,10.0,10.0,7.58,83.17,1000.0
478,Colombia,1,South America,3,Washed / Wet,0,7.58,7.67,7.33,7.67,7.75,7.58,10.0,10.0,10.0,7.5,83.08,1799.0
480,Brazil,5,South America,3,Pulped natural / honey,2,7.58,7.58,7.58,7.5,7.67,7.58,10.0,10.0,10.0,7.58,83.08,905.0
481,Brazil,5,South America,3,Natural / Dry,1,7.33,7.67,7.67,7.33,7.75,7.42,10.0,10.0,10.0,7.92,83.08,1.0
482,Taiwan,7,Asia,2,Natural / Dry,1,7.83,7.92,7.5,7.83,7.67,7.25,9.33,10.0,10.0,7.75,83.08,750.0
484,Brazil,5,South America,3,Washed / Wet,0,7.58,7.83,7.67,7.42,7.42,7.5,10.0,10.0,10.0,7.67,83.08,1200.0
485,Costa Rica,3,Central America,1,Washed / Wet,0,7.83,7.33,7.5,7.67,7.58,7.67,10.0,10.0,10.0,7.5,83.08,1300.0
487,Taiwan,7,Asia,2,Other,4,7.75,7.75,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.58,83.08,1300.0
489,Mexico,4,Mexico,4,Washed / Wet,0,7.75,7.67,7.42,7.75,7.5,7.5,10.0,10.0,10.0,7.5,83.08,1400.0
496,Brazil,5,South America,3,Natural / Dry,1,7.58,7.5,7.5,7.75,7.67,7.5,10.0,10.0,10.0,7.5,83.0,890.0
497,Brazil,5,South America,3,Natural / Dry,1,7.5,7.58,7.58,7.67,7.58,7.5,10.0,10.0,10.0,7.58,83.0,894.0
498,Brazil,5,South America,3,Natural / Dry,1,7.5,7.67,7.58,7.67,7.58,7.42,10.0,10.0,10.0,7.58,83.0,872.0
499,Uganda,6,Africa,0,Washed / Wet,0,7.67,7.58,7.42,7.42,7.83,7.5,10.0,10.0,10.0,7.58,83.0,1473.0
500,Uganda,6,Africa,0,Natural / Dry,1,7.67,7.67,7.5,7.58,7.42,7.5,10.0,10.0,10.0,7.67,83.0,1645.0
502,Vietnam,23,Asia,2,Other,4,7.75,7.67,7.58,7.58,7.42,7.67,9.33,10.0,10.0,8.0,83.0,1550.0
503,Guatemala,11,Central America,1,Washed / Wet,0,7.67,7.75,7.33,7.92,7.42,7.5,10.0,10.0,10.0,7.42,83.0,1550.0
504,Guatemala,11,Central America,1,Washed / Wet,0,7.75,7.67,7.33,7.75,7.5,7.42,10.0,10.0,10.0,7.58,83.0,1371.6
505,Guatemala,11,Central America,1,Washed / Wet,0,7.83,7.67,7.25,7.67,7.75,7.5,10.0,10.0,10.0,7.33,83.0,1500.0
506,Brazil,5,South America,3,Natural / Dry,1,7.67,7.67,7.67,7.5,7.42,7.5,10.0,10.0,10.0,7.58,83.0,1000.0
507,Taiwan,7,Asia,2,Washed / Wet,0,7.92,7.92,7.83,7.58,7.33,7.25,10.0,10.0,10.0,7.17,83.0,1200.0
508,Uganda,6,Africa,0,Washed / Wet,0,7.83,7.58,7.5,7.5,7.58,7.5,10.0,10.0,10.0,7.5,83.0,1800.0
509,United States (Puerto Rico),20,Central America,1,Washed / Wet,0,7.67,7.5,7.67,7.83,7.75,7.83,10.0,10.0,9.33,7.42,83.0,853.44
510,Guatemala,11,Central America,1,Washed / Wet,0,7.67,7.67,7.42,7.83,7.5,7.5,10.0,10.0,10.0,7.42,83.0,1500.0
511,Costa Rica,3,Central America,1,Washed / Wet,0,7.67,7.58,7.5,7.58,7.5,7.5,10.0,10.0,10.0,7.67,83.0,1200.0
512,Brazil,5,South America,3,Semi-washed / Semi-pulped,3,7.75,7.58,7.42,7.67,7.42,7.67,10.0,10.0,10.0,7.5,83.0,1250.0
513,Colombia,1,South America,3,Washed / Wet,0,7.75,7.42,7.33,7.5,7.58,7.17,10.0,10.0,10.0,8.25,83.0,1775.0
514,Colombia,1,South America,3,Washed / Wet,0,7.83,7.5,7.58,7.33,7.5,7.67,10.0,10.0,10.0,7.58,83.0,1750.0
515,Colombia,1,South America,3,Natural / Dry,1,7.33,7.67,7.75,7.42,7.75,7.58,10.0,10.0,10.0,7.5,83.0,1000.0
516,Colombia,1,South America,3,Natural / Dry,1,7.58,7.75,7.42,7.67,7.58,7.42,10.0,10.0,10.0,7.58,83.0,1000.0
517,Colombia,1,South America,3,Washed / Wet,0,7.5,7.5,7.42,7.58,7.75,7.58,10.0,10.0,10.0,7.67,83.0,1775.0
518,Mexico,4,Mexico,4,Washed / Wet,0,7.67,7.58,7.42,7.5,7.67,7.58,10.0,10.0,10.0,7.58,83.0,750.0
519,Mexico,4,Mexico,4,Semi-washed / Semi-pulped,3,7.67,7.83,7.5,7.58,7.58,7.67,9.33,10.0,10.0,7.83,83.0,1200.0
520,Mexico,4,Mexico,4,Washed / Wet,0,7.5,7.67,7.5,7.5,7.58,7.58,10.0,10.0,10.0,7.67,83.0,1200.0
522,Colombia,1,South America,3,Washed / Wet,0,7.75,7.58,7.5,7.67,7.83,7.75,9.33,10.0,10.0,7.58,83.0,1625.0
523,Colombia,1,South America,3,Washed / Wet,0,7.67,7.58,7.58,7.58,7.67,7.42,10.0,10.0,10.0,7.5,83.0,1750.0
524,Guatemala,11,Central America,1,Washed / Wet,0,7.5,7.67,7.5,7.67,7.5,7.83,10.0,10.0,10.0,7.33,83.0,1371.6
525,Colombia,1,South America,3,Washed / Wet,0,7.67,7.67,7.58,7.5,7.67,7.42,10.0,10.0,10.0,7.5,83.0,1775.0
533,Brazil,5,South America,3,Natural / Dry,1,7.67,7.58,7.5,7.58,7.58,7.5,10.0,10.0,10.0,7.5,82.92,890.0
534,El Salvador,13,Central America,1,Washed / Wet,0,7.5,7.5,7.75,7.58,7.92,7.83,10.0,10.0,9.33,7.5,82.92,1350.0
535,Colombia,1,South America,3,Washed / Wet,0,7.58,7.67,7.5,7.33,7.67,7.58,10.0,10.0,10.0,7.58,82.92,1500.0
536,Taiwan,7,Asia,2,Natural / Dry,1,7.17,7.83,7.25,7.67,7.67,7.58,10.0,10.0,10.0,7.75,82.92,350.0
537,Ethiopia,0,Africa,0,Washed / Wet,0,7.58,7.58,7.5,7.5,7.58,7.58,10.0,10.0,10.0,7.58,82.92,2000.0
538,Taiwan,7,Asia,2,Natural / Dry,1,7.5,7.58,7.67,7.33,7.5,7.75,10.0,10.0,10.0,7.58,82.92,775.0
539,Philippines,24,Asia,2,Washed / Wet,0,7.58,7.58,7.67,7.58,7.5,7.5,10.0,10.0,10.0,7.5,82.92,1200.0
540,Philippines,24,Asia,2,Washed / Wet,0,8.08,7.5,7.67,7.42,7.33,7.5,10.0,10.0,10.0,7.42,82.92,1600.0
541,Mexico,4,Mexico,4,Natural / Dry,1,7.83,7.67,7.25,7.58,7.5,7.5,10.0,10.0,10.0,7.58,82.92,1059.0
542,Mexico,4,Mexico,4,Washed / Wet,0,7.75,7.67,7.42,7.42,7.75,7.5,10.0,10.0,10.0,7.42,82.92,1300.0
543,Brazil,5,South America,3,Semi-washed / Semi-pulped,3,7.08,7.5,7.5,7.83,7.75,7.67,10.0,10.0,10.0,7.58,82.92,1100.0
544,Uganda,6,Africa,0,Washed / Wet,0,8.0,7.5,7.5,7.58,7.33,7.42,10.0,10.0,10.0,7.58,82.92,1650.0
545,Uganda,6,Africa,0,Washed / Wet,0,7.75,7.58,7.58,7.5,7.5,7.5,10.0,10.0,10.0,7.5,82.92,1400.0
546,Guatemala,11,Central America,1,Washed / Wet,0,7.75,7.5,7.42,7.58,7.67,7.5,10.0,10.0,10.0,7.5,82.92,1500.0
547,Guatemala,11,Central America,1,Natural / Dry,1,7.67,7.83,7.42,7.5,7.33,7.5,10.0,10.0,10.0,7.67,82.92,1500.0
549,Colombia,1,South America,3,Washed / Wet,0,7.58,7.5,7.75,7.33,7.58,7.58,10.0,10.0,10.0,7.58,82.92,1900.0
550,Colombia,1,South America,3,Natural / Dry,1,7.75,7.5,7.25,7.5,7.75,7.5,10.0,10.0,10.0,7.67,82.92,1750.0
551,Guatemala,11,Central America,1,Washed / Wet,0,7.83,7.75,7.25,7.92,7.5,7.17,10.0,10.0,10.0,7.5,82.92,1706.88
552,Colombia,1,South America,3,Washed / Wet,0,7.83,7.67,7.42,7.42,7.5,7.58,10.0,10.0,10.0,7.5,82.92,1450.0
553,Mexico,4,Mexico,4,Natural / Dry,1,7.58,7.58,7.33,7.25,7.58,7.75,10.0,10.0,10.0,7.83,82.92,1248.0
554,Vietnam,23,Asia,2,Natural / Dry,1,7.67,7.33,7.17,7.58,8.08,7.42,10.0,10.0,10.0,7.67,82.92,1040.0
555,Mexico,4,Mexico,4,Washed / Wet,0,8.0,7.92,7.67,7.17,7.67,7.42,9.33,10.0,10.0,7.75,82.92,1400.0
559,Kenya,8,Africa,0,Washed / Wet,0,7.75,7.58,7.42,7.58,7.5,7.5,10.0,10.0,10.0,7.5,82.83,1754.0
560,Guatemala,11,Central America,1,Washed / Wet,0,7.5,7.58,7.33,7.67,7.58,7.58,10.0,10.0,10.0,7.58,82.83,1700.0
561,Brazil,5,South America,3,Pulped natural / honey,2,7.67,7.58,7.58,7.5,7.5,7.42,10.0,10.0,10.0,7.58,82.83,905.0
562,El Salvador,13,Central America,1,Washed / Wet,0,7.33,7.67,7.67,7.83,7.33,7.67,10.0,10.0,10.0,7.33,82.83,1250.0
563,Rwanda,25,Africa,0,Washed / Wet,0,7.83,7.92,7.75,7.83,7.75,7.75,9.33,9.33,9.33,8.0,82.83,1900.0
564,Vietnam,23,Asia,2,Other,4,7.25,7.58,7.5,7.42,7.75,7.42,10.0,10.0,10.0,7.92,82.83,1040.0
565,Guatemala,11,Central America,1,Washed / Wet,0,7.58,7.58,7.33,7.67,7.67,7.5,10.0,10.0,10.0,7.5,82.83,1219.2
566,Brazil,5,South America,3,Natural / Dry,1,7.58,7.83,7.33,7.67,7.42,7.33,10.0,10.0,10.0,7.67,82.83,900.0
567,Colombia,1,South America,3,Washed / Wet,0,7.83,7.67,7.5,7.58,7.5,7.67,10.0,10.0,10.0,7.08,82.83,1600.0
568,Indonesia,14,Asia,2,Other,4,7.42,7.58,7.25,7.5,7.75,7.75,10.0,10.0,10.0,7.58,82.83,1200.0
569,Guatemala,11,Central America,1,Washed / Wet,0,7.67,7.67,7.75,7.67,7.42,7.17,10.0,10.0,10.0,7.5,82.83,1500.0
570,Colombia,1,South America,3,Natural / Dry,1,7.5,7.42,7.58,7.5,7.58,7.58,10.0,10.0,10.0,7.67,82.83,1800.0
571,Colombia,1,South America,3,Washed / Wet,0,7.83,7.5,7.5,7.42,7.5,7.5,10.0,10.0,10.0,7.58,82.83,1775.0
572,"Tanzania, United Republic Of",15,Africa,0,Washed / Wet,0,7.67,7.5,7.33,7.25,7.58,7.75,10.0,10.0,10.0,7.75,82.83,1400.0
573,Mexico,4,Mexico,4,Washed / Wet,0,7.58,7.67,7.5,7.58,7.5,7.5,10.0,10.0,10.0,7.5,82.83,1550.0
574,Mexico,4,Mexico,4,Washed / Wet,0,7.67,7.58,7.42,7.75,7.42,7.42,10.0,10.0,10.0,7.58,82.83,1250.0
575,Guatemala,11,Central America,1,Washed / Wet,0,7.67,7.67,7.33,7.5,7.33,7.92,10.0,10.0,10.0,7.42,82.83,1310.64
576,Mexico,4,Mexico,4,Washed / Wet,0,7.58,7.58,7.5,7.42,7.67,7.58,10.0,10.0,10.0,7.5,82.83,1380.0
578,Guatemala,11,Central America,1,Washed / Wet,0,7.5,7.58,7.42,7.67,7.58,7.5,10.0,10.0,10.0,7.5,82.75,1100.0
579,Guatemala,11,Central America,1,Washed / Wet,0,7.58,7.67,7.5,7.58,7.5,7.42,10.0,10.0,10.0,7.5,82.75,1800.0
580,Guatemala,11,Central America,1,Washed / Wet,0,7.5,7.67,7.17,7.67,7.67,7.58,10.0,10.0,10.0,7.5,82.75,1700.0
581,Guatemala,11,Central America,1,Washed / Wet,0,7.5,7.5,7.42,7.58,7.67,7.5,10.0,10.0,10.0,7.58,82.75,1219.2
582,Guatemala,11,Central America,1,Washed / Wet,0,7.42,7.58,7.42,7.67,7.5,7.5,10.0,10.0,10.0,7.67,82.75,1219.2
583,Indonesia,14,Asia,2,Other,4,7.5,7.58,7.42,7.58,7.58,7.5,10.0,10.0,10.0,7.58,82.75,1500.0
584,Guatemala,11,Central America,1,Washed / Wet,0,7.58,7.58,7.33,7.58,7.33,7.67,10.0,10.0,10.0,7.67,82.75,157.8864
585,Taiwan,7,Asia,2,Natural / Dry,1,7.83,7.67,7.33,7.67,7.58,7.67,9.33,10.0,10.0,7.67,82.75,650.0
586,El Salvador,13,Central America,1,Washed / Wet,0,7.67,7.67,7.17,7.33,7.58,7.67,10.0,10.0,10.0,7.67,82.75,1250.0
587,Costa Rica,3,Central America,1,Washed / Wet,0,7.58,7.5,7.42,7.67,7.42,7.5,10.0,10.0,10.0,7.67,82.75,1850.0
588,Honduras,16,Central America,1,Natural / Dry,1,7.58,7.5,7.42,7.58,7.5,7.5,10.0,10.0,10.0,7.67,82.75,1400.0
589,Brazil,5,South America,3,Pulped natural / honey,2,7.5,7.5,7.58,7.5,7.58,7.58,10.0,10.0,10.0,7.5,82.75,905.0
590,China,2,Asia,2,Natural / Dry,1,7.67,7.5,7.33,7.33,7.67,7.67,10.0,10.0,10.0,7.58,82.75,1100.0
591,China,2,Asia,2,Washed / Wet,0,7.5,7.67,7.42,7.67,7.5,7.5,10.0,10.0,10.0,7.5,82.75,1500.0
592,Colombia,1,South America,3,Washed / Wet,0,7.5,7.58,7.58,7.75,7.33,7.5,10.0,10.0,10.0,7.5,82.75,1775.0
593,Malawi,26,Africa,0,Washed / Wet,0,7.75,7.58,7.42,7.5,7.33,7.5,10.0,10.0,10.0,7.67,82.75,1442.0
594,Guatemala,11,Central America,1,Washed / Wet,0,7.75,7.42,7.25,7.75,7.5,7.67,10.0,10.0,10.0,7.42,82.75,1524.0
595,Colombia,1,South America,3,Washed / Wet,0,7.67,7.42,7.42,7.58,7.33,7.67,10.0,10.0,10.0,7.67,82.75,165.0
598,Colombia,1,South America,3,Washed / Wet,0,7.58,7.33,7.17,7.33,7.25,8.58,10.0,10.0,10.0,7.5,82.75,1300.0
599,Mexico,4,Mexico,4,Washed / Wet,0,7.58,7.58,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.58,82.75,1550.0
600,Mexico,4,Mexico,4,Washed / Wet,0,7.58,7.58,7.33,7.75,7.25,7.58,10.0,10.0,10.0,7.67,82.75,1200.0
601,Mexico,4,Mexico,4,Natural / Dry,1,8.08,8.17,8.0,8.0,7.83,7.92,6.67,10.0,10.0,8.08,82.75,1200.0
602,Colombia,1,South America,3,Washed / Wet,0,7.5,7.58,7.42,7.67,7.5,7.58,10.0,10.0,10.0,7.5,82.75,1625.0
603,Colombia,1,South America,3,Washed / Wet,0,7.67,7.58,7.58,7.58,7.5,7.42,10.0,10.0,10.0,7.42,82.75,1775.0
605,Panama,10,Central America,1,Washed / Wet,0,7.42,7.42,7.5,7.58,7.5,7.75,10.0,10.0,10.0,7.58,82.75,1100.0
607,Brazil,5,South America,3,Natural / Dry,1,7.5,7.58,7.25,7.75,7.58,7.5,10.0,10.0,10.0,7.5,82.67,890.0
608,Brazil,5,South America,3,Natural / Dry,1,7.5,7.58,7.5,7.67,7.5,7.42,10.0,10.0,10.0,7.5,82.67,934.0
609,Laos,27,Asia,2,Washed / Wet,0,7.67,7.67,7.42,7.42,7.42,7.5,10.0,10.0,10.0,7.58,82.67,1300.0
610,El Salvador,13,Central America,1,Washed / Wet,0,7.67,7.67,7.67,7.67,7.5,7.67,10.0,10.0,9.33,7.5,82.67,1200.0
613,Brazil,5,South America,3,Natural / Dry,1,7.58,7.5,7.42,7.67,7.5,7.5,10.0,10.0,10.0,7.5,82.67,1.0
615,"Tanzania, United Republic Of",15,Africa,0,Washed / Wet,0,7.5,7.5,7.5,7.5,7.5,7.58,10.0,10.0,10.0,7.58,82.67,1700.0
616,"Tanzania, United Republic Of",15,Africa,0,Washed / Wet,0,7.58,7.5,7.5,7.58,7.33,7.58,10.0,10.0,10.0,7.58,82.67,1550.0
617,Taiwan,7,Asia,2,Washed / Wet,0,8.0,7.83,7.83,7.42,7.25,7.25,10.0,10.0,10.0,7.08,82.67,1200.0
618,Mexico,4,Mexico,4,Natural / Dry,1,7.67,7.58,7.42,7.5,7.42,7.5,10.0,10.0,10.0,7.58,82.67,1296.0
619,Uganda,6,Africa,0,Washed / Wet,0,7.67,7.5,7.33,7.67,7.5,7.5,10.0,10.0,10.0,7.5,82.67,1650.0
620,Taiwan,7,Asia,2,Washed / Wet,0,7.67,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.5,82.67,1240.0
621,Thailand,9,Asia,2,Washed / Wet,0,7.42,7.5,7.5,7.67,7.58,7.5,10.0,10.0,10.0,7.5,82.67,1500.0
622,Colombia,1,South America,3,Washed / Wet,0,7.75,7.58,7.67,7.25,7.58,7.42,10.0,10.0,10.0,7.42,82.67,1800.0
624,Guatemala,11,Central America,1,Washed / Wet,0,7.67,7.67,7.17,7.67,7.5,7.5,10.0,10.0,10.0,7.5,82.67,1500.0
626,Mexico,4,Mexico,4,Washed / Wet,0,7.58,7.58,7.42,7.58,7.42,7.5,10.0,10.0,10.0,7.58,82.67,1100.0
627,Mexico,4,Mexico,4,Washed / Wet,0,7.5,7.58,7.58,7.58,7.42,7.42,10.0,10.0,10.0,7.58,82.67,950.0
633,Guatemala,11,Central America,1,Washed / Wet,0,7.5,7.42,7.42,7.75,7.5,7.5,10.0,10.0,10.0,7.5,82.58,1219.2
634,Taiwan,7,Asia,2,Pulped natural / honey,2,7.67,7.42,7.5,7.42,7.58,7.5,10.0,10.0,10.0,7.5,82.58,1050.0
638,Indonesia,14,Asia,2,Semi-washed / Semi-pulped,3,7.83,7.58,7.42,7.33,7.42,7.5,10.0,10.0,10.0,7.5,82.58,1250.0
639,Thailand,9,Asia,2,Washed / Wet,0,7.75,7.33,7.42,7.67,7.42,7.5,10.0,10.0,10.0,7.5,82.58,800.0
640,Thailand,9,Asia,2,Washed / Wet,0,7.42,7.58,7.58,7.42,7.58,7.5,10.0,10.0,10.0,7.5,82.58,1450.0
641,"Tanzania, United Republic Of",15,Africa,0,Washed / Wet,0,7.75,7.42,7.33,7.5,7.58,7.5,10.0,10.0,10.0,7.5,82.58,1317.0
642,Uganda,6,Africa,0,Natural / Dry,1,7.83,7.5,7.42,7.58,7.42,7.42,10.0,10.0,10.0,7.42,82.58,1650.0
643,Costa Rica,3,Central America,1,Washed / Wet,0,7.67,7.42,7.5,7.67,7.0,7.75,10.0,10.0,10.0,7.58,82.58,1300.0
646,Colombia,1,South America,3,Washed / Wet,0,7.75,7.25,7.33,7.42,7.5,7.83,10.0,10.0,10.0,7.5,82.58,1750.0
647,Colombia,1,South America,3,Washed / Wet,0,7.75,7.5,7.75,7.25,7.33,7.58,10.0,10.0,10.0,7.42,82.58,1750.0
648,Colombia,1,South America,3,Washed / Wet,0,7.58,7.5,7.42,7.58,7.67,7.42,10.0,10.0,10.0,7.42,82.58,1750.0
649,Mexico,4,Mexico,4,Washed / Wet,0,7.5,7.58,7.5,7.5,7.42,7.5,10.0,10.0,10.0,7.58,82.58,1250.0
650,Mexico,4,Mexico,4,Washed / Wet,0,7.67,7.58,7.58,7.75,7.67,6.83,10.0,10.0,10.0,7.5,82.58,1150.0
651,Colombia,1,South America,3,Washed / Wet,0,7.33,7.42,7.58,7.42,7.67,7.5,10.0,10.0,10.0,7.67,82.58,1775.0
653,Brazil,5,South America,3,Natural / Dry,1,7.5,7.5,7.5,7.5,7.58,7.5,10.0,10.0,10.0,7.42,82.5,890.0
654,Indonesia,14,Asia,2,Washed / Wet,0,7.83,7.75,7.25,7.5,7.42,7.33,10.0,10.0,10.0,7.42,82.5,1250.0
655,Honduras,16,Central America,1,Washed / Wet,0,7.58,7.58,7.33,7.5,7.5,7.5,10.0,10.0,10.0,7.5,82.5,1400.0
656,Guatemala,11,Central America,1,Washed / Wet,0,7.5,7.5,7.33,7.5,7.67,7.5,10.0,10.0,10.0,7.5,82.5,1219.2
657,Thailand,9,Asia,2,Washed / Wet,0,7.5,7.83,7.5,7.75,7.33,7.42,9.33,10.0,10.0,7.83,82.5,800.0
658,Thailand,9,Asia,2,Washed / Wet,0,7.33,7.5,7.5,7.5,7.67,7.5,10.0,10.0,10.0,7.5,82.5,1450.0
659,"Tanzania, United Republic Of",15,Africa,0,Washed / Wet,0,7.67,7.42,7.33,7.58,7.5,7.5,10.0,10.0,10.0,7.5,82.5,1600.0
661,Mexico,4,Mexico,4,Washed / Wet,0,7.42,7.58,7.5,7.67,7.25,7.5,10.0,10.0,10.0,7.58,82.5,1600.0
662,Brazil,5,South America,3,Semi-washed / Semi-pulped,3,7.42,7.5,7.67,7.33,7.42,7.67,10.0,10.0,10.0,7.5,82.5,1260.0
663,Guatemala,11,Central America,1,Washed / Wet,0,7.83,7.42,7.33,7.67,7.42,7.5,10.0,10.0,10.0,7.33,82.5,1310.64
664,Colombia,1,South America,3,Washed / Wet,0,7.5,7.5,7.42,7.42,7.58,7.58,10.0,10.0,10.0,7.5,82.5,1750.0
665,Guatemala,11,Central America,1,Washed / Wet,0,7.83,7.67,7.17,7.33,7.5,7.67,10.0,10.0,10.0,7.33,82.5,1310.64
666,Mexico,4,Mexico,4,Washed / Wet,0,7.5,7.58,7.5,7.5,7.42,7.42,10.0,10.0,10.0,7.58,82.5,1679.0
667,Mexico,4,Mexico,4,Washed / Wet,0,7.67,7.5,7.33,7.67,7.5,7.33,10.0,10.0,10.0,7.5,82.5,1100.0
668,Mexico,4,Mexico,4,Semi-washed / Semi-pulped,3,7.92,7.5,7.33,7.58,7.25,7.42,10.0,10.0,10.0,7.5,82.5,1650.0
670,Brazil,5,South America,3,Semi-washed / Semi-pulped,3,7.67,7.42,7.33,7.67,7.5,7.5,10.0,10.0,10.0,7.42,82.5,1250.0
671,Colombia,1,South America,3,Washed / Wet,0,7.67,7.5,7.33,7.5,7.25,7.67,10.0,10.0,10.0,7.58,82.5,1775.0
674,Honduras,16,Central America,1,Washed / Wet,0,7.42,7.67,7.17,7.58,7.58,7.5,10.0,10.0,10.0,7.5,82.42,1500.0
675,Guatemala,11,Central America,1,Washed / Wet,0,7.58,7.5,7.33,7.75,7.33,7.5,10.0,10.0,10.0,7.42,82.42,1700.0
676,Guatemala,11,Central America,1,Washed / Wet,0,7.67,7.58,7.25,7.67,7.42,7.33,10.0,10.0,10.0,7.5,82.42,1700.0
677,Guatemala,11,Central America,1,Washed / Wet,0,7.58,7.5,7.25,7.67,7.5,7.5,10.0,10.0,10.0,7.42,82.42,157.8864
679,Colombia,1,South America,3,Washed / Wet,0,5.08,7.75,7.83,7.75,7.83,8.08,10.0,10.0,10.0,8.08,82.42,1600.0
680,China,2,Asia,2,Washed / Wet,0,7.67,7.42,7.42,7.5,7.42,7.42,10.0,10.0,10.0,7.58,82.42,1600.0
682,"Tanzania, United Republic Of",15,Africa,0,Washed / Wet,0,7.67,7.25,7.42,7.42,7.67,7.42,10.0,10.0,10.0,7.58,82.42,2285.0
683,Brazil,5,South America,3,Natural / Dry,1,7.17,7.83,7.33,7.5,7.75,7.42,10.0,10.0,10.0,7.42,82.42,1.0
684,Guatemala,11,Central America,1,Washed / Wet,0,7.5,7.5,7.5,7.67,7.42,7.5,10.0,10.0,10.0,7.33,82.42,1400.0
685,Mexico,4,Mexico,4,Washed / Wet,0,7.42,7.5,7.42,7.58,7.42,7.5,10.0,10.0,10.0,7.58,82.42,1296.0
686,Brazil,5,South America,3,Semi-washed / Semi-pulped,3,7.58,7.67,7.33,7.5,7.5,7.42,10.0,10.0,10.0,7.42,82.42,1000.0
