,Country.of.Origin,Country.of.OriginR,Region.Name,RegionR,Processing.Method,Processing.MethodR,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,altitude_mean_meters
271,Mexico,4,Mexico,4,Washed / Wet,0,7.67,7.75,7.58,7.67,7.75,7.83,10.0,10.0,10.0,7.67,83.92,900.0
272,Mexico,4,Mexico,4,Washed / Wet,0,7.5,7.67,7.58,7.83,7.75,7.75,10.0,10.0,10.0,7.83,83.92,1500.0
273,Mexico,4,Mexico,4,Washed / Wet,0,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10.0,10.0,7.75,83.92,1400.0
274,Colombia,1,South America,3,Washed / Wet,0,7.92,7.58,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.75,83.83,2527.0
276,Costa Rica,3,Central America,1,Washed / Wet,0,7.67,7.67,7.75,7.67,7.5,7.75,10.0,10.0,10.0,7.83,83.83,1850.0
277,Guatemala,11,Central America,1,Washed / Wet,0,7.75,7.75,7.5,7.75,7.83,7.58,10.0,10.0,10.0,7.67,83.83,1500.0
279,Brazil,5,South America,3,Natural / Dry,1,7.25,7.58,7.42,8.0,7.75,7.83,10.0,10.0,10.0,8.0,83.83,1.0
280,Taiwan,7,Asia,2,Washed / Wet,0,7.67,7.75,7.67,7.75,7.42,7.75,10.0,10.0,10.0,7.83,83.83,525.0
281,Ethiopia,0,Africa,0,Natural / Dry,1,7.75,7.75,7.67,7.67,7.58,7.67,10.0,10.0,10.0,7.75,83.83,1676.5
282,Brazil,5,South America,3,Semi-washed / Semi-pulped,3,7.67,7.67,7.58,7.5,7.83,8.17,10.0,10.0,9.33,8.08,83.83,1200.0
283,Costa Rica,3,Central America,1,Washed / Wet,0,7.83,7.42,7.5,7.83,7.75,7.83,10.0,10.0,10.0,7.67,83.83,1300.0
284,Guatemala,11,Central America,1,Washed / Wet,0,7.58,7.83,7.33,8.0,7.58,7.75,10.0,10.0,10.0,7.75,83.83,1219.2
285,Brazil,5,South America,3,Natural / Dry,1,7.92,7.5,7.33,7.67,8.17,7.5,10.0,10.0,10.0,7.75,83.83,1260.0
286,Ecuador,19,Central America,1,Natural / Dry,1,7.5,7.67,7.58,7.75,7.83,7.83,10.0,10.0,10.0,7.67,83.83,800.0
287,Colombia,1,South America,3,Washed / Wet,0,7.67,7.58,7.58,7.83,7.58,7.67,10.0,10.0,10.0,7.92,83.83,1750.0
288,Guatemala,11,Central America,1,Washed / Wet,0,7.5,7.83,7.5,7.83,7.83,7.67,10.0,10.0,10.0,7.67,83.83,1310.64
289,Mexico,4,Mexico,4,Natural / Dry,1,7.67,8.0,7.67,7.42,7.67,7.5,10.0,10.0,10.0,7.92,83.83,1218.0
290,Mexico,4,Mexico,4,Natural / Dry,1,7.67,7.58,7.5,7.75,7.75,7.75,10.0,10.0,10.0,7.83,83.83,1300.0
291,Brazil,5,South America,3,Semi-washed / Semi-pulped,3,7.83,7.83,7.58,7.67,7.5,7.58,10.0,10.0,10.0,7.83,83.83,1250.0
295,Kenya,8,Africa,0,Washed / Wet,0,7.75,7.58,7.5,7.58,7.75,7.75,10.0,10.0,10.0,7.83,83.75,1800.0
296,Brazil,5,South America,3,Natural / Dry,1,7.67,7.67,7.58,7.75,7.67,7.67,10.0,10.0,10.0,7.75,83.75,890.0
297,Colombia,1,South America,3,Washed / Wet,0,7.83,7.83,7.58,7.58,7.58,7.58,10.0,10.0,10.0,7.75,83.75,442.0
298,Taiwan,7,Asia,2,Natural / Dry,1,7.67,7.67,7.58,7.58,7.67,7.83,10.0,10.0,10.0,7.75,83.75,750.0
300,China,2,Asia,2,Washed / Wet,0,7.83,7.75,7.67,7.5,7.58,7.67,10.0,10.0,10.0,7.75,83.75,1650.0
301,Colombia,1,South America,3,Natural / Dry,1,7.75,7.67,7.5,7.67,7.58,7.83,10.0,10.0,10.0,7.75,83.75,442.0
302,Uganda,6,Africa,0,Natural / Dry,1,8.0,7.92,7.58,7.75,7.33,7.5,10.0,10.0,10.0,7.67,83.75,1400.0
303,United States (Puerto Rico),20,Central America,1,Washed / Wet,0,7.83,7.83,7.83,7.67,8.0,8.17,9.33,9.33,10.0,7.75,83.75,853.44
304,Colombia,1,South America,3,Washed / Wet,0,7.67,7.67,7.67,7.92,7.5,7.67,10.0,10.0,10.0,7.67,83.75,1775.0
305,Colombia,1,South America,3,Washed / Wet,0,7.67,7.42,7.42,7.42,8.0,8.33,10.0,10.0,10.0,7.5,83.75,1550.0
306,Colombia,1,South America,3,Washed / Wet,0,7.58,7.67,7.75,7.67,7.67,7.67,10.0,10.0,10.0,7.75,83.75,1750.0
307,Colombia,1,South America,3,Washed / Wet,0,7.75,7.67,7.75,7.58,7.42,8.0,10.0,10.0,10.0,7.58,83.75,1750.0
309,Mexico,4,Mexico,4,Natural / Dry,1,7.83,7.58,7.58,7.5,7.75,7.67,10.0,10.0,10.0,7.83,83.75,700.0
310,Guatemala,11,Central America,1,Washed / Wet,0,7.67,7.58,7.58,7.67,7.75,7.75,10.0,10.0,10.0,7.75,83.75,1300.0
314,Brazil,5,South America,3,Natural / Dry,1,7.67,7.83,7.5,7.67,7.67,7.5,10.0,10.0,10.0,7.83,83.67,890.0
315,Kenya,8,Africa,0,Washed / Wet,0,8.08,7.67,7.67,7.58,7.25,7.67,10.0,10.0,10.0,7.75,83.67,1700.0
316,Honduras,16,Central America,1,Washed / Wet,0,7.5,7.5,7.67,7.67,8.0,8.0,10.0,10.0,10.0,7.33,83.67,1400.0
317,Nicaragua,18,Central America,1,Washed / Wet,0,7.67,7.75,7.67,7.67,7.83,7.58,10.0,10.0,10.0,7.5,83.67,1250.0
318,Brazil,5,South America,3,Natural / Dry,1,7.58,7.75,7.58,7.75,7.58,7.58,10.0,10.0,10.0,7.83,83.67,934.0
319,Taiwan,7,Asia,2,Natural / Dry,1,7.5,7.67,7.33,7.92,7.83,7.67,10.0,10.0,10.0,7.75,83.67,1200.0
321,Thailand,9,Asia,2,Washed / Wet,0,7.5,7.75,7.58,7.83,7.67,7.58,10.0,10.0,10.0,7.75,83.67,800.0
322,Colombia,1,South America,3,Washed / Wet,0,7.5,7.75,7.5,7.75,7.67,7.67,10.0,10.0,10.0,7.83,83.67,1625.0
323,Guatemala,11,Central America,1,Washed / Wet,0,8.0,7.5,7.33,8.0,8.0,8.0,9.33,10.0,10.0,7.5,83.67,1356.6648
324,Colombia,1,South America,3,Washed / Wet,0,7.83,7.75,7.67,7.58,7.58,7.67,10.0,10.0,10.0,7.58,83.67,1750.0
325,Colombia,1,South America,3,Washed / Wet,0,7.67,7.67,7.67,7.67,7.33,7.75,10.0,10.0,10.0,7.92,83.67,1900.0
326,Guatemala,11,Central America,1,Washed / Wet,0,7.67,7.67,7.42,7.67,8.0,7.75,10.0,10.0,10.0,7.5,83.67,1310.64
327,Guatemala,11,Central America,1,Washed / Wet,0,7.83,7.67,7.33,7.67,7.67,7.83,10.0,10.0,10.0,7.67,83.67,1310.64
328,Colombia,1,South America,3,Washed / Wet,0,7.75,7.75,7.58,7.83,7.17,7.75,10.0,10.0,10.0,7.83,83.67,1750.0
329,Guatemala,11,Central America,1,Natural / Dry,1,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8.0,83.67,1450.0
330,Guatemala,11,Central America,1,Washed / Wet,0,7.67,8.17,7.5,7.42,7.58,7.83,10.0,10.0,10.0,7.5,83.67,1310.64
331,Mexico,4,Mexico,4,Washed / Wet,0,7.67,7.5,7.5,7.33,7.83,8.25,10.0,10.0,10.0,7.58,83.67,1100.0
332,Indonesia,14,Asia,2,Washed / Wet,0,8.17,7.67,7.58,7.58,7.42,7.67,10.0,10.0,10.0,7.58,83.67,1400.0
333,Guatemala,11,Central America,1,Washed / Wet,0,7.67,7.5,7.33,8.0,7.67,7.67,10.0,10.0,10.0,7.83,83.67,1524.0
335,Brazil,5,South America,3,Natural / Dry,1,7.58,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.92,83.58,890.0
336,Guatemala,11,Central America,1,Washed / Wet,0,7.75,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,7.58,83.58,1128.3696
338,China,2,Asia,2,Washed / Wet,0,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,7.75,83.58,1100.0
